classe,data_hora
motorcycle,2025-11-06T13:39:24.169493
motorcycle,2025-11-06T13:39:24.239809
motorcycle,2025-11-06T13:39:24.365442
motorcycle,2025-11-06T13:39:24.423862
motorcycle,2025-11-06T13:39:24.488293
motorcycle,2025-11-06T13:39:24.805221
motorcycle,2025-11-06T13:39:25.170248
motorcycle,2025-11-06T13:39:25.388587
motorcycle,2025-11-06T13:39:25.448250
motorcycle,2025-11-06T13:39:25.512855
motorcycle,2025-11-06T13:39:25.580254
motorcycle,2025-11-06T13:39:25.641355
motorcycle,2025-11-06T13:39:25.711415
motorcycle,2025-11-06T13:39:25.781966
motorcycle,2025-11-06T13:39:25.843338
motorcycle,2025-11-06T13:39:25.902367
motorcycle,2025-11-06T13:39:25.967526
motorcycle,2025-11-06T13:39:26.036014
motorcycle,2025-11-06T13:39:26.093953
motorcycle,2025-11-06T13:39:26.154552
motorcycle,2025-11-06T13:39:26.238217
motorcycle,2025-11-06T13:39:26.303362
motorcycle,2025-11-06T13:39:26.361861
motorcycle,2025-11-06T13:39:26.611470
motorcycle,2025-11-06T13:39:26.670853
motorcycle,2025-11-06T13:39:26.752596
motorcycle,2025-11-06T13:39:26.847108
motorcycle,2025-11-06T13:39:26.910388
motorcycle,2025-11-06T13:39:26.973072
motorcycle,2025-11-06T13:39:27.043987
motorcycle,2025-11-06T13:39:27.134376
motorcycle,2025-11-06T13:39:27.234383
motorcycle,2025-11-06T13:39:27.334953
motorcycle,2025-11-06T13:39:27.432307
motorcycle,2025-11-06T13:39:27.530884
motorcycle,2025-11-06T13:39:27.632573
motorcycle,2025-11-06T13:39:27.741845
motorcycle,2025-11-06T13:39:27.850532
motorcycle,2025-11-06T13:39:27.954729
motorcycle,2025-11-06T13:39:28.047523
motorcycle,2025-11-06T13:39:28.143689
motorcycle,2025-11-06T13:39:28.238929
motorcycle,2025-11-06T13:39:28.341879
motorcycle,2025-11-06T13:39:28.445556
motorcycle,2025-11-06T13:39:28.537682
motorcycle,2025-11-06T13:39:28.640883
motorcycle,2025-11-06T13:39:28.734599
motorcycle,2025-11-06T13:39:28.859986
motorcycle,2025-11-06T13:39:28.959660
motorcycle,2025-11-06T13:39:29.061509
motorcycle,2025-11-06T13:39:29.237128
motorcycle,2025-11-06T13:39:29.302825
motorcycle,2025-11-06T13:39:29.370178
motorcycle,2025-11-06T13:39:29.429538
motorcycle,2025-11-06T13:39:29.488620
motorcycle,2025-11-06T13:39:29.573270
motorcycle,2025-11-06T13:39:29.648197
motorcycle,2025-11-06T13:39:29.712121
motorcycle,2025-11-06T13:39:29.777791
motorcycle,2025-11-06T13:39:29.843195
motorcycle,2025-11-06T13:39:29.907150
motorcycle,2025-11-06T13:39:29.967823
motorcycle,2025-11-06T13:39:30.034171
motorcycle,2025-11-06T13:39:30.156897
motorcycle,2025-11-06T13:39:30.215641
motorcycle,2025-11-06T13:39:30.284047
motorcycle,2025-11-06T13:39:30.354447
motorcycle,2025-11-06T13:39:30.414716
motorcycle,2025-11-06T13:39:30.473636
motorcycle,2025-11-06T13:39:30.538875
motorcycle,2025-11-06T13:39:30.605627
motorcycle,2025-11-06T13:39:30.665439
motorcycle,2025-11-06T13:39:30.724395
motorcycle,2025-11-06T13:39:30.793278
motorcycle,2025-11-06T13:39:30.914890
motorcycle,2025-11-06T13:39:30.972186
motorcycle,2025-11-06T13:39:31.103570
motorcycle,2025-11-06T13:39:31.162118
motorcycle,2025-11-06T13:39:31.221405
motorcycle,2025-11-06T13:39:31.284816
motorcycle,2025-11-07T19:43:18.139331
motorcycle,2025-11-07T19:43:18.199289
motorcycle,2025-11-07T19:43:18.267362
motorcycle,2025-11-07T19:43:18.335043
motorcycle,2025-11-07T19:43:18.393508
motorcycle,2025-11-07T19:43:18.668468
motorcycle,2025-11-07T19:43:19.008049
motorcycle,2025-11-07T19:43:19.068876
motorcycle,2025-11-07T19:43:19.128340
motorcycle,2025-11-07T19:43:19.195631
motorcycle,2025-11-07T19:43:19.261601
motorcycle,2025-11-07T19:43:19.319948
motorcycle,2025-11-07T19:43:19.380403
motorcycle,2025-11-07T19:43:19.449120
motorcycle,2025-11-07T19:43:19.518050
motorcycle,2025-11-07T19:43:19.582555
motorcycle,2025-11-07T19:43:19.641637
motorcycle,2025-11-07T19:43:20.065879
motorcycle,2025-11-07T19:43:20.130205
motorcycle,2025-11-07T19:43:20.207169
motorcycle,2025-11-07T19:43:20.270801
motorcycle,2025-11-07T19:43:20.332907
motorcycle,2025-11-07T19:43:20.411344
motorcycle,2025-11-07T19:43:20.490148
motorcycle,2025-11-07T19:43:20.571528
motorcycle,2025-11-07T19:43:20.664098
motorcycle,2025-11-07T19:43:20.745478
motorcycle,2025-11-07T19:43:21.217342
motorcycle,2025-11-07T19:43:21.277363
motorcycle,2025-11-07T19:43:21.359875
motorcycle,2025-11-07T19:43:21.426085
motorcycle,2025-11-07T19:43:21.487136
motorcycle,2025-11-07T19:43:21.557024
motorcycle,2025-11-07T19:43:21.618050
motorcycle,2025-11-07T19:43:21.677909
motorcycle,2025-11-07T19:43:21.744764
motorcycle,2025-11-07T19:43:21.812358
motorcycle,2025-11-07T19:43:21.872037
motorcycle,2025-11-07T19:43:21.931096
motorcycle,2025-11-07T19:43:21.999243
motorcycle,2025-11-07T19:43:22.065263
motorcycle,2025-11-07T19:43:22.123483
motorcycle,2025-11-07T19:43:22.183714
motorcycle,2025-11-07T19:43:22.253236
motorcycle,2025-11-07T19:43:22.321002
motorcycle,2025-11-07T19:43:22.380081
motorcycle,2025-11-07T19:43:22.440572
motorcycle,2025-11-07T19:43:22.506604
motorcycle,2025-11-07T19:43:22.573071
motorcycle,2025-11-07T19:43:22.633079
motorcycle,2025-11-07T19:43:22.693952
motorcycle,2025-11-07T19:43:22.763296
motorcycle,2025-11-07T19:43:22.841470
motorcycle,2025-11-07T19:43:22.900864
motorcycle,2025-11-07T19:43:22.958398
motorcycle,2025-11-07T19:43:23.027159
motorcycle,2025-11-07T19:43:23.093273
motorcycle,2025-11-07T19:43:23.153161
motorcycle,2025-11-07T19:43:23.213675
motorcycle,2025-11-07T19:43:23.279922
motorcycle,2025-11-07T19:43:23.350234
motorcycle,2025-11-07T19:43:23.409259
motorcycle,2025-11-07T19:43:23.470003
motorcycle,2025-11-07T19:43:23.539061
motorcycle,2025-11-07T19:43:23.606359
motorcycle,2025-11-07T19:43:23.665546
motorcycle,2025-11-07T19:43:23.726394
motorcycle,2025-11-07T19:43:23.796009
motorcycle,2025-11-07T19:43:23.863754
motorcycle,2025-11-07T19:43:23.923745
